[CAFE] [14/07/2026 14:45:46] | V: 22.44 V | I: 0.0002 A | F: 49.946 Hz | TH:0.242 V | PF:  0.25 | P:    0.01 W | Q:   0.02 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:45:51] | V: 22.45 V | I: 0.0002 A | F: 49.981 Hz | TH:0.243 V | PF:   0.0 | P:     0.0 W | Q:    0.0 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:46:16] | V: 22.46 V | I: 0.0002 A | F: 49.911 Hz | TH:0.242 V | PF:   0.5 | P:    0.02 W | Q:   0.01 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:46:21] | V: 22.46 V | I: 0.0004 A | F: 49.911 Hz | TH:0.243 V | PF: 0.125 | P:    0.01 W | Q:    0.0 VAR | S:    0.08 VA
[CAFE] [14/07/2026 14:46:26] | V: 22.44 V | I: 0.0002 A | F: 49.928 Hz | TH:0.243 V | PF:  0.25 | P:    0.01 W | Q:   0.03 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:46:31] | V: 22.46 V | I: 0.0004 A | F: 49.911 Hz | TH:0.243 V | PF:   0.5 | P:    0.04 W | Q:    0.0 VAR | S:    0.08 VA
[CAFE] [14/07/2026 14:46:37] | V: 22.45 V | I: 0.0002 A | F: 49.911 Hz | TH:0.243 V | PF:   1.0 | P:    0.04 W | Q:   0.01 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:46:46] | V: 22.46 V | I: 0.0002 A | F: 49.946 Hz | TH:0.243 V | PF:   0.0 | P:     0.0 W | Q:   0.01 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:46:51] | V: 22.46 V | I: 0.0002 A | F: 49.894 Hz | TH:0.243 V | PF:  0.25 | P:    0.01 W | Q:    0.0 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:47:11] | V: 22.47 V | I: 0.0002 A | F: 49.928 Hz | TH:0.243 V | PF:   0.5 | P:    0.02 W | Q:    0.0 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:47:16] | V: 22.47 V | I: 0.0002 A | F: 49.911 Hz | TH:0.242 V | PF:   0.5 | P:    0.02 W | Q:   0.01 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:47:21] | V: 22.47 V | I: 0.0004 A | F: 49.876 Hz | TH:0.243 V | PF: 0.375 | P:    0.03 W | Q:   0.01 VAR | S:    0.08 VA
[CAFE] [14/07/2026 14:47:36] | V: 22.48 V | I: 0.0002 A | F: 49.911 Hz | TH:0.242 V | PF:  0.25 | P:    0.01 W | Q:   0.02 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:47:41] | V: 22.47 V | I: 0.0002 A | F: 49.876 Hz | TH:0.243 V | PF:  0.25 | P:    0.01 W | Q:   0.01 VAR | S:    0.04 VA
[CAFE] [14/07/2026 14:47:46] | V: 22.48 V | I: 0.0002 A | F: 49.894 Hz | TH:0.243 V | PF:   0.5 | P:    0.02 W | Q:   0.04 VAR | S:    0.04 VA
